"clearances_avg_home","corners_avg_home","passes_avg_home","possession_avg_home","shots_avg_home","shots_on_target_avg_home","touches_avg_home","goals_scored_ft_avg_home","goals_conced_ft_avg_home","performance_acum_home"
"33.2","5.1","362.9","44.1","11.3","3.3","562.8","0.77","1.69","25.6"
"29","3.8","369.8","44.5","9.8","2.7","565.3","1","1.33","33.3"
"40.6","4.9","356.9","44","11.2","3.4","568.2","0.83","1.91","29"
"37.1","4.8","371.8","46","12.7","4","590.3","0.78","1.61","21.7"
"33.3","4.4","324","42.5","9.9","3.1","526.5","0.96","1.17","42"
"30","4.4","359.6","43.5","11.2","3.8","557.3","1.17","1.35","40.6"
"28.1","7","529.4","58","16.9","6","726.3","1.74","0.89","68.6"
"24.2","5.3","469","54.5","13","4.5","659.3","1.2","1.83","33.3"
"26.9","6.4","500.1","55.5","15.8","5.4","697.2","2.05","0.9","65.1"
"34.7","4.7","454.2","50","12.3","4.2","660.2","1.38","1.5","41.7"
"28.4","7.2","528.6","58.1","17.4","6.2","726.3","1.84","0.87","69.9"
"41.4","5.9","338.4","44.5","12.8","4.1","553.9","1.12","1.41","39.6"
"26.4","6","502.4","55","15.4","5.5","698.4","2.05","0.95","66.7"
"23.7","7.4","524.4","58.9","19.2","5.4","734.3","1.55","1.3","46.7"
"40.3","5.3","389","48.8","14.5","5","610.4","1.3","1.85","33.3"
"29","1","456","48","6","4","639","2","0","100"
"23.4","6.4","551.7","57.4","14.7","5.1","758.7","1.86","1.18","51.5"
"37.9","4.8","365","44.5","11.2","3.3","570.5","0.83","1.78","33.3"
"30.9","6.1","416.1","52.7","17.9","6.1","621.1","1.67","1.22","55.6"
"32.5","4.8","460.3","49","13","5.3","662.1","1.56","1.83","37"
"33.8","6.2","563.1","58.9","15.9","5.8","758.8","2.44","1.39","79.6"
"31.6","4.3","356.6","43.2","12.2","4.1","543.9","1.11","1.5","46.3"
"37.4","5","392.6","48.3","13.1","4.3","607.3","0.83","1.72","18.5"
"35.1","5.2","300.2","40.1","11.2","3.4","512.6","1.17","2.06","16.7"
"34.6","4.1","319.6","42.1","9.9","2.9","524.6","0.83","0.72","46.3"
"30.4","4.8","371.9","45","11.2","3.7","570.4","1.06","1.33","35.2"
"24","5.8","492.9","53.9","14.2","5.2","688.6","1.85","1","64.1"
"29.8","6.5","426","54","19.4","6.4","631.7","1.77","1.31","53.8"
"32.2","6.8","572.1","59.2","15.9","5.9","767.7","2.46","1.38","76.9"
"29.2","5.4","452.7","50.1","13.9","4.6","660.2","1.54","2.31","28.2"
"34.4","4","317","41.1","10.8","3.1","518.5","0.85","0.85","41"
"38.5","6.2","499.9","54.6","14.2","4.8","704.8","1.38","1.23","43.6"
"45.4","5.7","392.6","48","16.9","5.7","608.4","1.77","1.69","51.3"
"26.6","4.8","462.3","55.3","12.6","4.2","645.3","1.15","1.77","35.9"
"23.5","6.7","554.6","57.9","15.1","5.3","761.1","2","1.17","53.6"
"30.8","6.4","412.7","52","17.1","5.8","620.3","1.52","1.13","55.1"
"31.1","4.9","465.7","50.1","12.6","4.7","669","1.43","1.74","36.2"
"34.1","5.9","536.4","57.4","15.3","5.8","735","2.48","1.3","81.2"
"31","4.3","362.1","43.4","11.4","3.6","550.9","1.04","1.7","37.7"
"35.8","5","301.5","39.9","10","3.3","510.3","1.22","1.87","27.5"
"26.1","6.3","491.7","54.9","16.4","5.5","689.5","1.97","1","64.8"
"29.2","4.4","352.4","42.3","12.2","3.8","554","0.95","1.25","38.3"
"33","5","560.7","54.7","12","5","764.7","1","1.67","33.3"
"","","","","","","","","",""
"33.3","5.2","397.3","46.5","12.3","3.6","609.1","1.1","1.33","33.3"
"25.3","7.4","540.3","57.1","17.4","6.2","740.6","2.67","1.03","71.7"
"32.4","3","391.4","43.3","9.9","2.6","603.9","0.71","1.86","14.3"
"24.2","5.2","546.8","54.7","13.8","5.9","754.7","2.06","1.06","72.9"
"33.5","5.5","389.6","44.2","11.3","3.2","598","1.09","1.09","42.4"
"42","4","471","46.3","14","8","662","4","1","100"
"32","5.2","562.2","56.4","13.5","5.5","781.1","1.77","1.17","66.7"
"25.1","7.2","542.8","57","18","6.6","742","2.96","1.13","76.8"
"33","6.8","491","59.6","15.2","5.4","716.2","1.2","0.8","60"
"23.2","4.8","380.8","45.9","12.3","3.4","575.2","0.93","1.59","28.7"
"37.6","4.5","312.6","37.6","10.8","3.6","536.9","0.78","1.19","39.8"
"25.6","6.3","468.8","54.3","15.2","4.8","688","1.25","1.38","58.3"
"24.4","6","587.7","59.2","13.6","5.4","791.1","1.43","1.36","42.9"
"34.7","4.7","373","45.2","10.5","3.1","578.7","0.74","1.74","26.1"
"29.4","6.1","479.7","55.8","15.7","5.5","705","1.52","1.04","60.9"
"33.4","5","414.8","46.1","11.4","4","627.8","0.96","2.17","27.5"
"26.3","4.3","390.1","44.1","11.5","3.1","592.1","0.96","1.26","33.3"
"30","4.5","419.5","48.8","15.3","5","641.3","1.39","1.22","53.6"
"26.1","4.3","396.7","47.3","11.2","3.2","606.2","0.96","1.61","31.9"
"34.2","4.4","336","43.1","11.5","3.2","547.1","0.96","1.43","27.5"
"29.8","6.5","480.4","56.2","15.1","5.3","706.7","1.42","1.04","57.7"
"36.9","4.8","395.2","44.1","10.9","3.9","609.6","1","2.19","25.9"
"26.4","4.2","389.9","44.1","11.9","3.5","592.8","1.07","1.15","37"
"32.2","5.8","504.3","58.4","14.3","4.8","730.5","1.41","1.19","48.1"
"27.6","4.3","379.4","45.5","10.7","3.3","591","1","1.56","33.3"
"35.2","4.4","361.2","44.2","10.4","2.8","567.7","0.75","1.6","30"
"29.8","6","477.6","55.5","15.3","5.7","701","1.6","0.95","63.3"
"33.7","4.6","410.8","46.1","11.1","4","626.1","1.05","2.1","31.7"
"24.5","4.4","388.6","43.2","11.6","3.2","588.6","1.1","1.25","38.3"
"38.6","6.1","485.8","55.5","13.2","4.9","716.4","1.65","1.2","56.7"
"30.3","5.6","487","57.3","13","4.4","710.9","1.3","1.15","45"
"25.6","6.8","475.4","55.7","17","5.4","698.3","1.2","1.25","61.7"
"36.6","4.4","314.1","37.4","11.1","3.7","536.8","0.72","1.22","35.4"
"36.3","4.9","386.2","43.8","11.2","4","599.9","1","2.24","27.3"
"33.2","5.7","505","58.1","14.1","4.7","731.6","1.52","1.33","48.5"
"28.7","4.2","389.8","46.3","10.6","3.5","600.5","1.12","1.45","40.4"
"23.3","4.8","380.8","46.1","12.6","3.5","576.6","0.94","1.71","26.9"
"31.9","4.8","396.6","47.3","12.8","3.9","614.1","1.16","1.5","33.3"
"36.5","4","377.7","46","10.3","2.8","586.2","0.73","1.47","31.1"
"26.9","5.5","506.9","56.4","17.1","5.8","713.4","2","1.13","66.7"
"31.4","5.5","487.3","56.5","14.7","5.6","711.9","1.53","0.93","62.2"
"26.5","4.2","387.5","43","11","2.7","588.3","0.87","1.27","40"
"23.3","7.1","539.1","57","17.1","6.4","735.7","2.73","1","64.4"
"30.1","3.7","406.7","46.5","14.9","4.9","623.4","1.33","1.4","57.8"
"32.7","4.9","361.4","45.7","12.5","3.3","576.1","0.87","1.27","28.9"
"25","4.3","354.7","38.1","11.3","3.7","548","1.33","1.33","33.3"
"29.7","8","518.7","64.1","18.3","6","743.3","0.67","0.67","33.3"
"31.3","1.3","407.3","44.9","8","3.3","604","0.67","1.33","33.3"
"23","2","412.7","43","7","2","615","0.33","1.33","33.3"
"36.3","5","499.7","52.8","12","5","711","1.33","0.67","44.4"
"27","5.7","410","49.8","13.7","5","630","1","0.67","66.7"
"26.7","4.7","375.7","47.1","13","2.7","575.3","0.67","1.67","11.1"
"28.7","7","491","54.1","17.7","5","713.7","0.67","0.33","66.7"
"28.2","4.3","360.7","43.6","12","3.7","562","1.11","1.36","36.9"
"29.9","6.6","480.2","56.7","15.3","5.2","706.7","1.41","1","59.3"
"36.6","4.8","395.3","44.4","10.8","3.9","609.3","1","2.24","24.1"
"26","4.3","389.3","44.3","12","3.5","592.1","1.07","1.25","35.7"
"33.5","5.6","505.2","58.5","14.1","4.6","733.1","1.34","1.21","48.3"
"28.1","4.1","380.3","45.5","10.5","3.3","591.6","1","1.48","35.6"
"23.8","4.8","380.3","45.4","12.2","3.5","575.4","1","1.62","30.8"
"26.8","6.2","589.6","59.9","13.5","4.2","800.3","1.32","1.46","34.5"
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"29.7","5.7","556.2","56.5","14.4","5.7","769.6","1.95","0.9","76.2"
"35.4","4.3","332.4","39.1","11.2","3.5","551.5","0.62","1.48","27"
"34.8","6.4","511.2","55.1","16.9","6.6","738.7","2.43","1.24","66.7"
"25.7","7.1","535.2","56.4","17.4","6.3","733.7","2.81","1.1","74.6"
"26.3","4.9","395.5","45.5","12.3","3.7","598.4","0.81","1.67","31.7"
"23.7","5.3","385","46.1","12.4","3.3","578.6","0.9","1.62","27"
"33.2","4.5","341.7","43.6","12","3.3","551.8","1","1.43","28.6"
"28.4","4.3","366.7","44.3","11.8","3.7","568.7","1.06","1.48","34.3"
"33.9","5","372.5","45.1","11","3.3","583.7","0.88","1.88","28.4"
"29.7","6.6","480.9","55.1","17.6","5.9","696.5","1.94","0.71","73.5"
"28.7","5.2","427","50","15.5","4.9","648.9","1.12","1.53","45.1"
"25.2","6.2","470.9","54.9","15.7","5.1","689.1","1.41","1.41","58.8"
"37.1","4.9","323","41.7","11.1","3.1","537.1","1.12","1.38","36.3"
"20.9","4.6","518.6","54","14.4","6","711.9","2","1.14","76.2"
"22","5.4","517.1","55.4","17.9","5.9","708.6","1.43","0.57","66.7"
"31.6","5.1","483.4","56.3","14.4","5.6","704.1","1.43","1.29","57.1"
"36.1","5.4","518.7","57","13.9","5.4","742.9","1.43","1.29","47.6"
"25.7","4","438.9","49.3","16.1","5.1","650.4","1.29","1.71","47.6"
"21.1","5.4","436.6","50.4","12.3","3.6","644.9","0.57","1","33.3"
"29.7","4.9","568.7","56.5","13.7","5.9","777.4","1.14","1.57","33.3"
"30.9","4.9","330","44.3","11.9","2.7","536","1","0.71","38.1"
"19.9","5","548","55.2","14.6","6.3","743.4","2.22","1","81.5"
"31.8","4.3","402.6","45.3","7.6","2.9","611.3","1","1.33","37"
"28.9","4.3","361.9","40.8","9.7","2.9","564.2","0.78","1.11","40.7"
"23.8","7.4","533.7","58.7","15.6","6.4","725.8","2.33","1.22","59.3"
"28","3.8","419.3","48.3","15.9","4.9","631.1","1.33","1.78","40.7"
"23.6","5.1","415.4","48.4","11.7","3.7","621.8","0.67","1.11","29.6"
"33","5.1","397.4","44.9","11.6","3.1","603.6","0.89","1.11","37"
"29.8","5","325.4","42.4","12.1","2.8","530.8","0.89","0.89","33.3"
"36.3","3.6","350.8","40.8","11.1","3.2","570.7","0.69","1.5","27.1"
"32.7","4.5","395.4","44.4","10","3.4","611.2","0.94","1.88","27.1"
"32.8","7","516.9","55.3","17.3","6.8","744.1","2.44","1.12","68.8"
"37.3","5.8","478.7","54.4","12.9","4.8","709.8","1.56","1.19","52.1"
"25.4","4.5","410.4","47.6","11.1","3.4","618.9","0.94","1.25","37.5"
"25.6","5.1","369","43.9","11.3","2.7","563.8","0.75","1.88","18.8"
"33.9","5.4","399.2","46.4","12.4","3.4","611.9","1.06","1.38","31.2"
"23.2","3.5","541.8","55.5","17","4.8","732","1","0.5","58.3"
"32.2","5.8","469.2","48","13.2","5.5","686.8","1.25","0.5","83.3"
"25","5.2","413","47.7","15.8","4.5","625.8","0.75","1.25","58.3"
"24","4.2","367.5","41.9","10","2.8","566","0.75","1.25","33.3"
"37.5","3","376.2","42.4","10","2","573.2","0.25","1","16.7"
"33.2","4","305","43.7","9.8","1.5","511","0.5","0.25","41.7"
"30.6","5.6","565","57","14.3","5.7","783.4","1.85","1","71.8"
"35.4","4.7","371","45.1","10.5","3","580.7","0.73","1.69","28.2"
"30.4","6.2","478","54.7","17.1","5.9","692.5","1.85","0.81","73.1"
"35.6","4.4","325.6","38.6","11.2","3.6","546.2","0.72","1.36","34.7"
"25.5","7.6","543.3","57.8","18.1","6.3","744.9","2.72","1.08","72"
"32.9","5","403.5","47.6","12.6","3.7","620.2","1.15","1.46","30.8"
"37.5","4.8","329.2","42.6","11.5","3.3","542.9","1.08","1.27","35.9"
"34.9","5","369.2","44.9","11.1","3.3","581.3","0.77","1.73","27.8"
"30.3","6.1","476.3","54.7","17.1","5.8","691.8","1.87","0.77","73.3"
"29.5","6.8","482.3","57.1","15.5","5.2","709.8","1.43","1","60.7"
"26.2","4.2","394.1","44.6","12.1","3.5","597.5","1.03","1.28","34.5"
"25.6","7.5","545.8","57.9","17.8","6.2","745.6","2.63","1","74.1"
"29.7","5","414.5","49.4","15.8","5.2","638.4","1.28","1.38","49.4"
"29.4","5.1","385.5","45.6","12.6","3.8","592.6","0.8","1.6","32.2"
"37.3","4.8","320.4","41.9","11.1","3.2","534.2","1.1","1.31","35.6"
"21.2","4.9","553.2","55.5","13.9","6","755.5","2","0.91","75.8"
"30.8","5.5","499.5","58.1","13.9","4.7","720.3","1.27","0.91","60.6"
"30.6","4.2","400.7","44.3","7.9","3","613.1","0.91","1.73","30.3"
"25.8","4.4","380.6","43.4","11.1","2.7","580.6","0.82","1.27","42.4"
"31.5","3.7","397.6","46.2","15.1","5.1","613.8","1.36","1.45","51.5"
"24.5","4.9","396","46.3","10.9","3.5","603.4","0.91","1.27","30.3"
"30.1","4.7","356.5","44.9","12.5","3","562.9","0.82","1","30.3"
"28.5","2.5","291.5","33.5","8.5","4","470","2","1.5","50"
"27","8","564","67","20","7","786","2","2","33.3"
"31","1","326","42.2","5","1","533","1","0","100"
"18","1","502","48.6","7","2","710","0","2","0"
"21","1","377","36.5","6","1","572","0","4","0"
"39","8","400","53.3","8","3","620","1","0","100"
"31","6","416","44.7","12","6","669","0","1","0"
"36.3","5","384.7","43.7","11.3","4","598.6","1","2.2","28.6"
"37.4","5.7","490.5","55.4","13.4","4.7","717.2","1.65","1.18","55.9"
"32.4","5.6","513.3","58.7","13.9","4.7","737.8","1.43","1.29","46.7"
"28.9","4.3","394.9","46.7","10.7","3.5","605.6","1.11","1.4","41.9"
"28.2","6","572.7","58.4","13.3","4.2","784.6","1.34","1.46","34.3"
"31.7","4.7","388.8","46.4","12.5","3.9","605.8","1.21","1.59","32.4"
"30.8","4.2","355.1","41.2","12.6","3.2","558.4","1.12","1.25","41.7"
"29.8","3.2","389.2","43.7","10.4","2.8","601","0.75","2.12","12.5"
"34.2","7.6","491.2","53","14.2","5.9","717.8","1.62","0.88","70.8"
"37.6","5.2","503","55.7","13.6","5.4","732","1.38","1.25","45.8"
"23.5","4","401","45.6","10.9","3.1","603.4","0.75","1.62","29.2"
"30.9","6.5","445.5","54.8","13.1","4.8","666.5","1","0.38","62.5"
"29.2","4.6","361.7","43.6","12.5","3.7","564.3","0.94","1.33","35.2"
"35.6","4.4","364.9","44.9","10.3","2.7","573.6","0.72","1.56","31.5"
"26.1","4.3","383.2","42.8","11.2","2.9","583.6","0.89","1.28","37"
"24.2","7","533.9","56.3","17.5","6.6","731.5","2.94","1.17","70.4"
"25.1","4.7","399.7","45.4","12.5","3.7","602.6","0.89","1.72","35.2"
"32.3","4.3","349.8","44.4","11.9","3.2","561.7","0.83","1.39","25.9"
"28","4.2","359.4","41","12","3.2","560.4","1.2","1.2","40"
"31.6","2.2","415.2","45.4","8","2.6","615.8","0.6","1.4","26.7"
"28","3","401.2","42.8","10.2","3.2","608.2","1","1.4","46.7"
"33.8","5.8","506.6","55.5","14","5.2","722.6","1.4","1.2","46.7"
"33.2","6.6","441.2","56.2","12.6","4.6","666.2","0.6","0.4","53.3"
"36.6","5.2","572","55.9","13.8","6.2","783.4","1.4","1.4","46.7"
"25","8.2","527.8","59","21","6.8","751","1","0.2","80"
"31.3","5.4","561.6","56.5","13.7","5.5","779.6","1.77","1.16","67.7"
"35","4.5","317.6","37.6","10.9","3.5","538.8","0.63","1.3","31.1"
"37.7","5.9","487.1","55.1","13.9","4.8","715.9","1.55","1.19","54.8"
"34.1","5.5","504.3","58.4","14.1","4.6","733.2","1.45","1.29","48.4"
"28.8","4.2","383.4","45.9","10.6","3.5","594.6","1.16","1.45","39.8"
"27.3","6.1","587.5","59.3","13.5","4.2","799","1.35","1.55","32.3"
"31.5","4.9","404.8","48.1","12.9","3.8","622.1","1.1","1.5","31.1"
"28.1","4.3","365.1","44.2","11.6","3.6","566.7","1.03","1.51","33.3"
"29.5","6.8","472.4","55.5","15","5.2","699.9","1.58","1","63.9"
"37.3","5.7","494.7","55.5","13.8","4.9","720.9","1.71","1.14","57.1"
"29.1","4.9","426.2","49.6","15.2","4.8","648","1.08","1.58","42.6"
"28.8","4.3","395.2","46.8","10.9","3.5","605.8","1.08","1.39","40.7"
"28.4","6.1","567.1","58.1","13.2","4.3","779.2","1.42","1.44","36.1"
"36.9","4.8","327","42.7","11.1","3.2","541.8","1.06","1.36","34.3"
"30.4","4.2","363.3","42.4","12.9","3.7","564.7","1.08","1.17","41.7"
"35.4","4.1","378.5","45.8","10.1","2.8","585.7","0.92","1.42","36.1"
"30.8","5.6","489.8","57.5","14.2","5.3","713.5","1.42","1.08","58.3"
"32.1","3.9","402.6","46.4","15.6","5.1","619.1","1.42","1.42","55.6"
"23.3","4.8","413.2","46.2","12.5","3.7","612.2","0.83","1.92","30.6"
"31","5","359.2","44.9","12.2","2.8","567.4","0.75","1.17","27.8"
"32.5","3","324.5","43.2","10.5","3.5","505.5","1.5","2","50"
"32","1.5","399.5","46.1","9.5","4","610","0.5","1.5","0"
"17","8","651","66.8","18","8","829.5","3","1.5","50"
"23","3","397","45.8","11","0.5","604.5","0","2","16.7"
"20.5","5.5","420","47.2","10.5","3","612","1","1.5","16.7"
"36.5","4","308.5","44.2","12","2.5","505","1","0","66.7"
"27.9","4.4","362.4","43.7","12","3.6","564.1","1.1","1.48","36.6"
"34","4.8","369.8","44.9","11.1","3.3","581.4","0.91","1.91","27.1"
"30.2","6.4","477.4","55.1","17.3","5.9","693","1.94","0.75","71.9"
"27","4.2","394.2","44.9","11.8","3.5","598.6","1.03","1.25","34.4"
"25.4","7.7","546.4","57.7","17.7","6.2","746.3","2.67","0.93","74.4"
"29","5.2","427.1","50.2","15.6","5.1","649.8","1.19","1.47","47.9"
"29.1","5.2","386.6","45.7","12.6","3.9","592.5","0.81","1.59","33.3"
"38","4","362.3","44.2","10.5","2.5","562","1","1.17","44.4"
"31.7","3.7","410.7","45.9","8.2","3","613.7","0.67","1.5","22.2"
"30.7","3.5","386.3","42.5","10.3","3.3","593.5","1","1.17","55.6"
"35","6.2","460.2","50.2","13","5.5","686.3","1.33","0.67","72.2"
"23.8","8","538","59.6","16.2","6.2","731.2","2.33","1.17","55.6"
"25.2","6","358","44","14.5","2.7","557.2","0.67","2.33","5.6"
"35.2","3.4","362.5","41.3","10.6","3","578.6","0.57","1.57","23.8"
"32.2","6.8","516.6","54.6","16","6.4","741.4","2.14","1.21","64.3"
"37.6","6.1","483.9","54.8","13.2","4.9","715.5","1.57","1.29","52.4"
"29.9","6.5","487.6","57.4","13.6","4.8","709.6","1.29","0.93","52.4"
"23.8","4.4","407","47.5","11.3","3.5","614.4","0.86","1.29","33.3"
"27.3","4.9","361.9","42.6","10.8","2.4","554.8","0.79","2","19"
"34.8","5","395","44.8","11.5","2.9","606.1","1.21","1.36","35.7"
"28.3","4","347.7","41.6","11.8","3.8","546.2","1.12","1.42","37.5"
"30.2","6.2","476.2","54.3","17.1","5.9","689.9","1.83","0.83","73.6"
"35.5","4.5","328.6","38.7","11.2","3.5","548.3","0.62","1.38","31.9"
"36.1","6","498.4","54.3","16.7","6.5","727.9","2.42","1.21","65.3"
"27.2","5.5","392.7","46.2","13.3","3.8","600","0.79","1.54","33.3"
"31.4","5.7","497.5","57.7","13.5","4.7","722.1","1.42","1.12","48.6"
"24.2","5","379.6","45.9","12.6","3.5","576.7","1.04","1.5","33.3"
"26.3","6.5","592.2","59.8","13.5","4.2","799.3","1.21","1.46","33.3"
"34.7","4.9","372.7","45.3","10.9","3.1","583.3","0.68","1.75","26.2"
"30.9","6.2","475.7","54.5","17.4","6","691.9","1.86","0.79","75"
"34.5","4.5","325.1","38.1","11.1","3.7","544.4","0.7","1.37","33.3"
"30","5.3","387","45.7","12.9","3.8","595.4","0.75","1.54","33.3"
"32.3","5.1","406.9","48.2","12.7","3.8","624","1.15","1.44","30.9"
"30.8","4.3","359.9","41.7","12.3","3.1","562.4","0.9","1.2","36.7"
"25","5.5","510.5","55.9","17","5.4","707.7","1.6","0.8","66.7"
"29.9","3.3","393.7","43.7","10.8","3","606.9","0.6","2.1","10"
"32.8","6.9","495.4","52.5","14.4","5.8","722.5","1.7","1","66.7"
"22.1","4.8","407.8","45.7","12.5","3.6","609.5","0.6","2","26.7"
"29.6","6.7","470.6","56.5","13.5","4.6","691.9","1.1","0.4","63.3"
"25.6","5.7","518.8","56.8","17.2","5.8","718","1.75","0.83","66.7"
"25.1","4.9","391.1","44.9","11.4","2.7","592","0.75","1.25","38.9"
"22.8","7.9","555.3","58.9","17.2","6.8","748.5","2.83","1","61.1"
"24.3","7.2","498.2","58.7","18.2","6.5","717.4","0.75","1","55.6"
"17.5","6","539","58.8","17","6.5","733","2","2","50"
"26.5","7","533","54","15","6","760.5","1","0","100"
"41.5","2.5","330.5","42.2","9","1.5","534","0","0.5","16.7"
"36.3","5.8","510.6","56.5","13.8","5.2","739.9","1.7","1.3","56.7"
"27.8","4.9","341.9","41.6","11.6","2.4","537.6","0.7","2.2","13.3"
"27.1","5.3","570.7","58.1","13","5.5","773.7","1.2","1.2","36.7"
"24.9","6.8","499.7","58.6","17.5","5.9","719.1","0.9","0.5","66.7"
"33.5","5.2","370","45","11","3.3","580.6","0.84","1.95","27"
"35.6","5.1","383.2","43.6","11.2","3.9","596.1","1.03","2.24","27.9"
"27.6","4.2","400.2","45.3","11.2","3.5","604.3","1.03","1.38","33.3"
"35.5","5.9","511.5","55.5","17.2","6.8","738.4","2.68","1.32","73"
"24.9","7.3","545.3","57.3","17.4","6.2","745.1","2.7","1","74.8"
"28.4","5.2","388","45.9","12.3","3.9","594.5","0.76","1.62","29.7"
"32","5.5","515.1","58.6","14","4.7","739","1.43","1.22","49.5"
"23.7","4.9","379.9","46","12.7","3.6","576.3","1.08","1.54","34.2"
"25.8","6.1","469.6","54.9","15.6","5","689.2","1.41","1.38","59.5"
"31.3","4.8","387.7","46.3","12.7","3.8","603.2","1.14","1.54","32.4"
"28.2","4.4","421.2","48.2","15","4.9","639","1.45","1.25","55"
"26.4","4.2","391.5","46.5","10.6","3.2","598.9","0.95","1.5","36.7"
"35.4","5.7","507.4","54.9","17","6.9","734","2.73","1.21","74.7"
"27.7","6","582.4","59.2","13.6","4.2","794.2","1.36","1.48","33.3"
"31.3","4.4","357.5","41.9","12.3","3.5","561.2","1.07","1.2","42.2"
"24.9","4.3","408.5","45.9","12.1","3.7","610.5","0.93","1.87","37.8"
"24.7","7.3","486.9","57.2","17.9","6.1","706.8","1","1.07","60"
"31","5.7","473.3","59.2","12","3.7","689","0.67","0.67","44.4"
"37.8","6","487.9","55.4","14","4.9","717.6","1.64","1.11","57.1"
"25.8","6.3","474","54.7","15.1","4.9","694.2","1.28","1.28","60.9"
"","","","","","","","","",""
"","","","","","","","","",""
"28.3","5.9","488.7","54.9","16.2","5.7","699.2","1.9","0.9","73"
"26.3","6.3","591.9","59.7","13.2","4.4","797.5","1.24","1.43","33.3"
"29.8","5.6","558.4","56.2","14.4","5.7","773.3","1.96","0.91","75.4"
"33.9","5","402.1","47.1","12.4","3.7","616.5","1.17","1.43","31.9"
"28.5","4.3","355.9","43.2","12.1","3.7","556.9","1","1.37","34.6"
"26.9","6.4","584.8","59.6","13.7","4.2","795.6","1.33","1.48","34.6"
"25.6","6.5","474.4","54.8","15.4","5","695.1","1.33","1.22","61.7"
"29.4","6.8","476.4","56.2","15.1","5.3","704","1.62","1","64.7"
"27.2","4.2","392.6","44.9","11.6","3.5","597.8","1.03","1.21","36.4"
"28.3","5.3","392.4","46.7","12.6","3.9","598.8","0.76","1.56","31.4"
"31","4.3","361.6","41.8","12.3","3.4","561.4","1.29","1.14","47.6"
"30.7","6.2","485.3","57.4","13.3","4.6","708.1","1.25","0.94","50"
"25.3","6.3","596.8","59.8","13.2","4.9","801.4","1.38","1.31","41.7"
"21.8","5.2","532","57.6","15","6","731.8","2","1.25","75"
"35.5","3","364","44.4","8.8","2.5","554.2","1","1.25","41.7"
"37","2.5","398.8","45.4","10.2","3.8","612","1","1.5","25"
"24","6.8","585","62.4","14.5","6.2","776.5","2","0.75","58.3"
"37","6","499.6","54.4","17","6.8","729.2","2.54","1.23","67.9"
"28.8","4.8","413.7","48.6","15.6","5.2","635","1.23","1.46","47.4"
"29.5","5.5","387.5","45.9","13.1","3.8","595.8","0.73","1.5","32.1"
"28.7","4.3","358.6","43.5","12","3.7","560.7","1.1","1.31","39.1"
"25.4","6.3","473.9","54.8","15.2","4.8","693.5","1.23","1.27","58.9"
"36.4","4.3","378.1","45.4","9.7","2.6","584.5","0.82","1.36","36.4"
"21.9","8.3","564.3","60","17.4","6.5","756.5","2.55","1.09","57.6"
"29","3","385","56.4","12","1","561","0","2","0"
"37","7","510","58.2","18","3","744","1","0","100"
"37.5","4.5","310.1","37.3","11","3.7","534.4","0.8","1.17","41"
"36.1","5.6","505.5","54.7","16.7","6.8","733.5","2.74","1.26","76.2"
"23.8","4.9","377.5","45.8","12.7","3.6","575","0.97","1.68","28.4"
"23.4","5.5","521.8","56.6","18.1","6","714.1","1.75","0.62","70.8"
"24.2","5.2","354.1","42.2","12.4","2.4","549.9","0.62","2.5","4.2"
"27.5","5.1","576.1","57.4","13.8","5.9","779.2","1.5","1.38","41.7"
"23.9","7.2","510.1","59","18","5.9","728.2","1","0.62","66.7"
"27.8","5.8","497.4","55.5","16.9","5.8","706.1","1.83","1","68.5"
"30.1","6.3","482.8","55.9","15.6","5.9","703.8","1.61","0.94","63"
"28.5","4.5","415.5","47.9","15.6","5.1","634.1","1.61","1.28","61.1"
"25","7.2","475.1","56","17.3","5.4","697.9","1.06","1.33","57.4"
"21","5.2","418.6","48.2","12.4","4.2","624","0.8","1","46.7"
"25","5.2","360","43.5","12.8","2.2","554.4","0.6","2.2","6.7"
"37.4","4.2","363.2","44.1","10","2.7","568.9","0.89","1.44","33.3"
"32","5.2","496","57.1","14.4","5.4","716.9","1.56","1.11","66.7"
"36.3","4.9","388.4","43.8","10.7","3.7","601.6","0.97","2.26","25.8"
"35.5","5.7","503.1","54.5","17.2","6.9","731.8","2.71","1.26","73.1"
"31.8","5.5","563.6","56.6","13.7","5.6","782.4","1.81","1.14","67.6"
"30.4","6.5","473.6","54.5","17.8","6.1","690.6","1.92","0.72","72.2"
"30","6.7","477.6","56.3","15","5.4","705.9","1.58","1","64.5"
"37.2","4.9","322","41.9","11.1","3.2","536.2","1.12","1.31","38.5"
"22.8","4.5","383.3","46","10.2","2.7","591.8","0.67","1","38.9"
"33.5","6.8","457.2","57","12.5","4.5","682.7","0.83","0.33","61.1"
"25.5","7.5","508","58.1","19.5","6.2","728.5","1","0.33","72.2"
"37.7","4.2","392","44.1","10.8","2.7","593.8","1","0.83","44.4"
"23.6","5.2","566.2","56","14.1","5.9","771.2","2.07","0.71","81"
"32.5","4.7","393.2","43.9","8.7","3","608.9","0.86","1.86","23.8"
"37.7","6","478.1","54.7","13.6","4.8","707","1.62","1.21","55.6"
"25.8","6.5","477.9","55.1","16","5.1","698.9","1.29","1.33","61.1"
"29.7","4.5","353.7","42.3","12.6","3.7","556.5","1","1.35","37.3"
