"clearances_avg_home","corners_avg_home","passes_avg_home","possession_avg_home","shots_avg_home","shots_on_target_avg_home","touches_avg_home","goals_scored_ft_avg_home","goals_conced_ft_avg_home","performance_acum_home"
"43.2","4.8","289.2","40","11.6","3.6","510.3","1.29","1.59","41.2"
"38.9","4.9","361.6","47","14.5","3.6","584.2","1.18","1.06","47.1"
"39","7","353.5","48.8","14.8","3.8","575.2","1.25","2","50"
"42.8","4.5","256","36.2","11.5","3","482.2","1","1.25","33.3"
"29.8","7.8","462","62.4","20.8","4.2","682.8","1","1.5","16.7"
"30.8","5","261.2","37.6","15","5.2","455.2","1","1.75","25"
"33","3.2","318.5","41.8","11","2","526.8","1","1","41.7"
"30.5","8","452.5","55.2","15.5","5.8","671.8","0.75","0.75","41.7"
"29.8","5.2","365.5","46.1","14.2","3.5","570.2","0.5","2","33.3"
"31.1","6","382.2","48.1","13.7","4.6","598.4","1.28","1.72","37.9"
"39.9","4.7","303.2","42","11.4","3.6","522.5","1.28","1.69","36.8"
"32.3","6.2","393.2","52.3","16","4.9","613.6","1.31","1.31","42.5"
"28.4","5.6","496","55.7","16","5.6","701.9","2.17","1.03","69"
"34.7","5","269.8","39.2","13.3","3.6","476.5","1.1","1.31","39.1"
"35.8","6.7","429","53.1","16.8","5.1","654.5","1.46","1.21","57.1"
"27.7","5.6","382.6","49.5","16.5","4.9","594.2","1.34","1.86","36.8"
"32.6","4.2","398.3","49.5","12.9","4.1","618.7","0.93","1.72","31"
"28.4","6.5","531.8","58.9","17.2","6.7","752.5","2.03","1","66.7"
"34.2","4.1","375.1","48.4","11","3.4","578.2","0.97","1.41","35.6"
"32.6","6.2","391.7","52","16","5","612.1","1.33","1.3","44.4"
"27.4","5.1","378.9","50.9","13.1","4.3","589.1","1.47","1.5","40"
"34.8","4.9","268.6","39.2","13.1","3.6","475.1","1.2","1.27","41.1"
"28.2","5.5","377.6","48.7","16.1","4.8","589.2","1.37","1.87","36.7"
"36.3","4.6","353.8","44.6","14.6","4.3","577.6","1.2","1.63","35.6"
"32.4","4.3","399.8","49.9","13.2","4.3","620.1","0.97","1.7","33.3"
"36.8","3","373.2","51.6","11.3","3.8","573.2","1.17","1.33","38.9"
"32.8","5.2","265.2","38.3","13.7","4.2","465.8","1.17","1.5","38.9"
"30.5","4.5","338","44.3","12.2","2.5","551.5","1.17","1.17","38.9"
"30.3","7.3","463.8","57","18","6","683","1","0.83","44.4"
"33.2","5","361.5","45.3","14","4","567.2","1.33","1.83","55.6"
"33.8","5.8","348.8","44.9","16.2","4.5","566.8","0.67","2.17","22.2"
"27","4.7","403.8","49.7","14.5","3.5","610.7","0.33","2.17","27.8"
"29.8","7.9","518.1","58.1","18.3","6.4","744","2","0.92","66.7"
"33.2","3.9","388.2","50.3","12","4.1","583.5","1.08","1.31","33.3"
"38.3","5.2","422.7","50.7","14.9","4.2","636","1.46","2","38.5"
"46","4.8","326.2","44.4","13.5","4.5","554.4","1.62","1.46","48.7"
"32.8","5.1","433.5","52","14.1","4.5","650.6","1","1.31","41"
"31.5","5.8","499.8","56.3","16.5","5.2","710.1","2","1.15","64.1"
"29.3","5.1","354.3","45","14.4","3.8","567.1","1.23","1.69","41"
"30","11","536","63.3","17","3","761","1","1","33.3"
"39","5","386","55.9","13","6","581","2","2","33.3"
"44","3","469","69.6","20","4","729","0","1","0"
"50","5","227","38.5","10","4","423","1","2","0"
"24","2","394","40.5","11","1","571","0","6","0"
"36","7","313","43.2","14","1","529","0","3","0"
"15","6","428","56.4","11","5","630","0","4","0"
"29.8","6.8","527.1","58.2","17.4","6.6","753.1","2.05","1","65.2"
"31","6.3","373.9","47.7","14.1","4.2","588.8","1.09","1.77","33.3"
"43.2","4.5","415","50.6","14.5","4.5","636.5","1.48","1.71","44.4"
"31.6","5.9","400.1","52.7","16.1","4.6","620.1","1.14","1.23","39.4"
"39.9","5.3","451","51.7","14.2","4.2","674.6","1.05","1.14","34.8"
"30.1","5.7","508","56.4","15.6","5.3","713.6","2.05","0.9","71.4"
"28.4","4.6","389.7","51","12.9","4.4","603.1","1.59","1.45","43.9"
"31.6","6.7","382.1","49.1","12.1","4","592.7","1.09","1.73","31.8"
"30.3","6.4","384.5","48.8","13.8","4.5","599.3","1.27","1.64","40.4"
"42.1","4.8","402.2","49.7","13.9","4.3","624.8","1.42","2.09","33.3"
"20.3","7","507.3","58.1","19.7","6.4","725.6","1.85","0.82","64.6"
"29.4","5.5","439.5","52.3","15.3","5.3","658","1.39","1.18","49.5"
"28.6","6.2","494.6","55.9","16.4","5.7","701.6","2.12","0.97","70.7"
"35","4.6","369","47.8","13.8","3.8","591.1","1.06","1.42","38.4"
"35.7","6.7","430","53.3","17.1","5.3","655.3","1.47","1.22","56.2"
"32.1","6.4","394.7","50.5","12.1","3.7","604.6","1.12","1.75","33.3"
"34.8","3.4","377.4","50.1","10.4","3.4","572.8","1","1.5","29.2"
"19.6","5.2","524.8","57.4","18.4","7.1","732.4","2.88","0.25","79.2"
"31.8","5","352.8","46.3","13.8","2.8","564.4","0.88","0.88","37.5"
"27.6","8.1","454.4","55.7","19.1","5.6","674","1.25","0.88","58.3"
"31.6","5","362.4","46.5","14.1","3.9","577","1.38","1.75","50"
"33.5","5","368.8","45.7","15.4","4.2","587.5","0.75","1.88","25"
"26.9","4.2","412.5","50.2","15.1","4.2","618.2","0.75","1.88","37.5"
"37.8","7.8","517.6","58.4","19.8","7","754.8","2.8","0.8","73.3"
"39.2","2.8","359.6","50.7","11.4","4","557","1.4","1.6","40"
"37","3.6","406.6","46.3","10.2","4","602.2","1.6","2.4","46.7"
"46.6","5.4","454","52.9","14.8","4.4","680.2","1.4","1.2","46.7"
"32","4.8","416.6","48","12.2","3.6","628.6","0.8","1.4","33.3"
"28.4","5.6","535.6","58.5","13.4","4","757.8","1.2","0.4","53.3"
"33.4","4.2","364.8","46.6","14.4","4","576.8","0.6","2.6","6.7"
"31.2","5.9","377.8","47.7","13.4","4.3","593.8","1.15","1.7","37"
"31.5","6.2","397.9","52.7","15.7","4.6","617.8","1.27","1.38","38.5"
"27.2","5.1","381.4","50.4","13.1","4.4","591.2","1.56","1.41","43.2"
"33.3","4","396.7","49.6","13","4.2","616.8","1","1.67","33.3"
"32","6.2","390.7","49.7","11.6","3.6","601.4","1","1.7","30.9"
"34.4","6.8","364.8","47.7","14.4","4.3","581.6","1.07","1.43","40.5"
"45","4.6","328.3","44.7","14","4.8","555.4","1.86","1.43","52.4"
"29.5","6.9","422.3","55.1","17.3","4.8","641.6","1.14","1.07","38.1"
"38.6","4.9","450.9","51.1","14","3.9","672.9","1","1.21","33.3"
"30.1","6.2","504.6","57.1","16.5","5.4","714.6","2","1.07","66.7"
"34.9","5.6","270.9","39.6","14","3.9","476.8","1.29","1.29","45.2"
"32.1","4.7","365.9","45.2","14.6","3.9","584.3","0.79","1.79","21.4"
"30.6","5.9","399.1","49.2","11.9","3.8","603.6","1","1.79","21.4"
"50","6.5","230.5","37.2","11","3","467.5","1","1","50"
"29","3","421","45.2","7.5","3.5","607","2","3","50"
"15.5","1.5","511","54.2","15","10","709.5","6","0","100"
"20","7.5","586.5","61.4","20.5","6","798","2.5","1","66.7"
"36.5","6","420","48.8","15","7","645.5","1","0.5","66.7"
"42.5","4","333.5","51.1","12.5","3","529.5","1.5","1","66.7"
"38.6","4.8","300.9","42","11.8","3.4","518.1","1.18","1.62","34.3"
"42.1","4.7","403","49.9","14","4.2","626","1.41","2.06","33.3"
"20.3","7","509.9","58.3","19.7","6.5","727.4","1.88","0.79","65.7"
"34.5","4.7","366.8","47.7","13.9","3.8","589.2","1.15","1.44","40.2"
"28.9","5","377.3","48.3","15.9","4.9","588.5","1.44","1.88","39.2"
"31.9","4.4","399.6","49.9","13.1","4.2","619.5","1","1.68","33.3"
"29.8","8.8","531.7","59.2","19.7","6.7","758.7","2.33","1.11","63"
"42.4","4.9","284.6","40.7","10.9","2.8","506.7","0.89","1.11","33.3"
"29.3","6.2","413.8","54.1","15.9","3.8","631.2","1","0.89","37"
"42.7","4.8","451.1","51.6","14.4","3.9","675","1.11","1.22","33.3"
"33","6.7","496.9","57.4","17","5.1","711.1","2.22","1.33","63"
"32.1","5.3","373","47.3","10","3.2","570.9","0.89","1.67","22.2"
"29.5","7.5","522.6","58.3","18.2","6.3","748.7","2.13","1.13","64.4"
"34.3","3.9","381.8","48.9","11.1","3.7","578.7","1.07","1.2","37.8"
"42.2","4.3","288.7","39.2","11.1","3.3","508.5","1.2","1.67","40"
"20.4","6.2","517.7","58.2","18.8","6.5","730","1.93","0.67","64.4"
"31.1","5.4","482.8","53.2","13.1","4.3","696.7","1.33","0.8","57.8"
"28.3","4.1","416.1","50.9","14.2","4.3","634.9","0.73","1.73","31.1"
"31.4","6","374.8","47.3","13.7","4.5","589.4","1.12","1.72","37.3"
"31.2","6.2","398.5","52.6","15.6","4.5","618","1.17","1.29","37.5"
"32.2","6.2","476.7","53.7","14.8","4.6","693","1.56","0.88","61.3"
"27.8","4.6","385.7","50.4","12.6","4.3","597.5","1.5","1.42","41.7"
"34.4","4.9","268.6","39.1","13.5","3.6","476.4","1.17","1.25","41.7"
"34.9","7","430.6","53.3","16.3","4.9","655.7","1.38","1.08","56.9"
"33","3.9","401.5","49.8","13","4.2","620.2","0.88","1.64","30.7"
"31.5","6.5","386.7","49.8","12.2","3.9","598.9","1","1.75","29.2"
"29","6.6","525.7","58.2","17.4","6.7","745.9","2.11","1","69.1"
"33.5","4.1","378.6","48.9","11.2","3.3","579.5","0.96","1.35","38.5"
"38.8","4.8","337.6","46.4","14.4","4.5","565","1.39","1.36","44"
"39","4.9","441.6","51","14","4.5","665","1.04","1.04","38.1"
"31.5","6.4","473.9","53.4","14.8","4.7","688.8","1.57","0.89","59.5"
"27.2","5.1","378.8","50.2","13.1","4.4","589","1.54","1.39","42.9"
"36.1","4.6","349.9","44.3","14.5","4.1","573.7","1.18","1.75","33.3"
"33.7","4","389.2","50.6","12","3.5","584.9","1","1.2","36.7"
"41.8","4.7","282.9","40.1","11.2","2.9","503.6","0.9","1.2","30"
"36.1","4.9","422.1","50","14.2","4.5","631.2","1.5","2.1","43.3"
"42.7","4.4","332.9","45.4","12.6","4.5","555.1","1.3","1.4","40"
"40.3","5","462","52.4","14.6","4","687.4","1.2","1.1","40"
"32.4","6.1","498.1","56.8","17.2","5.6","708.2","2.2","1.2","66.7"
"32.1","5","349.5","46.4","13.8","2.8","559.4","0.9","1.2","40"
"29.6","6.3","386.2","49.3","13.7","4.3","599.4","1.26","1.63","39"
"39.4","5.1","334.8","46.3","14.7","4.6","563.5","1.37","1.37","43.8"
"33.8","6.2","381.7","51.1","15.3","4.9","600.7","1.37","1.23","45.7"
"27.2","5.2","373.4","50.2","12.9","4.2","583.2","1.4","1.46","39"
"34.9","6.7","433","53.4","17.1","5.1","658.9","1.47","1.26","53.9"
"35.9","4.7","351.1","44.3","14.5","4.3","572.5","1.14","1.8","30.5"
"39.3","4.8","302.8","42","11.7","3.5","521.5","1.26","1.65","36.6"
"39.2","5","337.7","46.5","14.6","4.6","566.1","1.39","1.39","43"
"21.3","7","506","58.2","19.6","6.2","726.2","1.8","0.83","61.1"
"28.8","6.1","496.1","56.1","16.2","5.6","703.7","2.19","1.03","71"
"36","4.5","369.5","47.5","13.7","3.8","591.6","1.06","1.35","40.9"
"35.2","6.5","431.6","53.3","17.1","5.2","656.8","1.37","1.13","55.6"
"32.3","6.2","394.3","50.1","12","3.7","604.2","1.16","1.71","34.4"
"28.9","6.7","526.9","59.4","17.3","6.5","751","1.97","1.06","62.7"
"33.8","4.1","374.7","48.3","10.9","3.4","576.6","1","1.5","37.3"
"29.3","5.5","440.5","52.3","15.4","5.4","658.6","1.5","1.15","51"
"30.6","6","468.3","53.1","14.2","4.5","682.5","1.55","0.91","59.6"
"30.8","6.1","383.8","48.6","13.5","4.4","598.4","1.26","1.71","36.6"
"42.5","4.7","404.9","50","13.9","4.3","627.7","1.45","2.03","35.5"
"42.4","4.7","327.7","44.8","15","4.9","554.8","1.75","1.44","47.9"
"31.4","8.1","430.2","53.7","17.9","5.4","657.7","1.5","1.31","54.2"
"31.2","6.5","399.8","50.1","12.4","4.1","607.6","1.06","1.88","25"
"43.3","3.3","350","53.7","11.7","5","553.3","2","1.67","55.6"
"39.2","4.8","335.5","46","14.3","4.6","563","1.38","1.42","42.3"
"20.2","5.3","526.6","58","18","6.6","735.6","2.33","0.42","77.8"
"29.9","7","420","55.6","17.5","4.5","639.6","1.08","0.92","41.7"
"","","","","","","","","",""
"28.7","6.6","526.2","59.6","17.1","6.3","749.8","1.92","1.08","62"
"33.7","3.9","369.6","47.9","10.6","3.3","569.6","1","1.5","36.1"
"20","6.8","506","58","19.7","6.6","723","1.86","0.83","64.8"
"29.1","5.4","439.4","52.1","15.4","5.5","656.4","1.64","1.14","53.7"
"31.6","4.4","399.4","49.9","13","4.3","618","1","1.64","33.3"
"32.2","4.1","381.6","48.5","10.9","3.4","579.4","1","1.25","36.7"
"28.6","5.3","450.2","53.5","15.3","4.8","668.9","1.19","1.38","39.7"
"38.7","5","370.6","47.4","14.7","3.9","593.7","1.14","1","50"
"35","7.2","424.6","52.6","16.9","5.1","651","1.48","1.19","57.1"
"28.8","6.6","529.4","59.2","17.4","6.6","751.6","2","0.97","66.7"
"40.6","4","402.4","47.5","11.6","4.3","610.6","1.57","2.14","47.6"
"27.4","6.3","441.7","58.1","17.6","4","658","0.86","1","28.6"
"20.8","3.5","550","59.7","17.2","8.5","749.5","4.25","0.25","100"
"26.2","7.2","539.8","57.7","18.8","6.2","746.5","2.75","1.25","66.7"
"25.2","4.5","420","52","15.5","4","625","0.5","2.75","33.3"
"20","6.3","507.6","57.5","17.8","6.2","720.5","1.74","0.79","59.6"
"31.7","4","410.7","50.6","13.5","4.4","633.5","0.89","1.63","35.1"
"27","5.7","379.3","49.3","16.6","4.5","590.7","1.31","1.96","34.6"
"21.1","6.9","507.8","58","19.3","6.3","726.5","1.82","0.86","60.7"
"37.2","4.5","366.5","47.3","14.1","4","588.9","1.14","1.21","43.7"
"42.5","4.4","280.9","39.6","11.2","3.4","501.2","1.15","1.38","38.5"
"39.5","4.8","453.2","51.5","13.9","4","677.2","1","1","35.9"
"52","8","394","53.5","15","4","636","0","0","33.3"
"32","3","313","34.4","9","4","527","0","3","0"
"29.6","6.1","383.2","48.9","13.4","4.4","595.9","1.27","1.59","40.5"
"39","5.2","335","46.6","15","4.6","563","1.41","1.46","41.4"
"33.3","6.5","380.9","51.1","15.4","4.8","599","1.35","1.22","45.9"
"40.2","5","434.4","50.7","14.5","4.6","657.7","1.27","1.11","43.2"
"27.9","6.4","494.8","56","16.2","5.5","700.7","2","0.95","69.4"
"27.4","5.3","373","50.1","13.2","4.3","581.6","1.43","1.46","40.5"
"35","5","270","39","12.6","3.7","475.8","1.24","1.27","41.4"
"35.8","6.7","437","53.5","17.1","5","664.5","1.43","1.22","53.2"
"36.1","4.8","349.6","44.7","14.9","4.5","572.1","1.16","1.81","29.7"
"31.9","6.3","390.9","50.4","12","3.6","600","1.19","1.7","36"
"42","4.5","295.3","41","11.1","3.4","514.4","1.26","1.61","40.6"
"39.1","5","335.8","46.3","14.9","4.7","564.2","1.44","1.34","44.8"
"30.2","4.9","445.1","52.2","14.8","4.6","662.1","0.88","1.62","25"
"29","5.5","482.9","53.9","12.6","4.5","704.6","1.5","0.62","70.8"
"38.1","5.6","268.5","39.4","14","4.4","474.4","1.12","1.38","41.7"
"33.4","6.3","370.6","47.2","13.4","4.1","587.2","1.12","1.65","39.2"
"42.6","5.1","293.5","40.7","11.8","3.6","513.9","1.28","1.56","40.7"
"41.9","4.6","329.8","45.5","14.8","4.8","557.4","1.67","1.39","48.1"
"39","5.1","452.6","51.4","14.5","4.3","675.6","0.94","1.18","31.4"
"28.9","6.1","511.9","56.9","16.6","5.6","720.4","2.25","1","70.8"
"28.7","4.5","400.6","51.1","12.2","4.2","612.4","1.59","1.53","43.1"
"31.6","6.5","394.2","49.9","12.6","4.4","602","1.06","1.76","29.4"
"42","5.2","325.4","45.2","12.4","4.8","542.8","1.4","1.6","40"
"28.2","4.8","361","48.9","13.6","6","570.2","1.6","1.2","46.7"
"40.2","4.8","325.4","45.6","8.8","2","519.6","1.2","1.6","33.3"
"31.6","6.3","475.5","53.5","14.9","4.7","690.4","1.59","0.89","60.5"
"35.7","4.6","349.5","44.4","14.3","4","572.3","1.11","1.78","30.9"
"28","4.6","408.6","52.7","13.1","4.4","621","1.57","1.5","42.9"
"30.4","8.1","434.5","54.2","18","5.3","658.9","1.5","1.36","52.4"
